IntegrationTime,velocity_scaled0,velocity_scaled1,velocity_scaled2,Points0,Points1,Points2
0.0,0.65082675,-0.26108986,0.044620886,3652.483,8792.29,11810.49
42.69476,2.4012852,-0.39414182,1.7191373,3677.0444,8784.522,11825.865
0.0,0.6871859,-0.14911507,-0.7691927,3607.046,8757.113,11835.999
28.786106,1.9769291,0.4865424,-0.70975286,3632.092,8757.957,11819.507
42.700188,4.4706106,0.9520765,1.5164027,3661.2695,8764.927,11819.826
48.929634,11.466517,-0.6964719,6.862813,3686.9568,8765.971,11835.288
51.171535,22.332338,-3.9984238,16.225319,3712.0986,8763.627,11851.486
52.2471,26.598238,-6.5087495,17.18117,3737.5007,8758.206,11866.498
53.17512,-389.97128,-140.42535,-35.592407,3751.6973,8742.59,11887.819
53.247234,-518.135,-318.21732,185.98915,3726.237,8727.646,11893.155
53.294415,-577.8898,-436.644,453.02365,3703.6487,8712.419,11905.721
53.329533,-251.50128,-400.897,595.82025,3687.197,8697.167,11925.639
53.368958,-172.1415,-983.209,1496.3623,3684.5369,8681.43,11951.041
53.38564,-2171.706,-1920.2198,1906.1057,3674.2795,8660.794,11970.248
53.394283,-1777.5929,-1419.6604,1293.3956,3652.7927,8644.926,11983.905
53.40575,-1945.0806,-1478.2875,1129.4252,3632.1807,8627.036,11996.359
53.416893,-1784.7056,-1151.1582,1105.7487,3609.767,8611.678,12009.078
53.429424,-1748.2585,-1116.265,798.9313,3586.6296,8596.498,12020.664
53.44292,-1938.2974,-1191.9858,877.32635,3563.1057,8581.31,12031.431
0.0,0.03682167,-0.06788192,-0.023757888,3574.8867,8768.648,11884.013
0.0,0.6071096,1.347528,-2.9772112,3619.3784,8796.692,11865.743
9.025587,1.5474054,-0.0719255,-1.1739268,3631.9065,8801.274,11838.872
24.460535,3.5997512,-0.52789724,0.8057433,3660.2031,8795.144,11831.017
32.51119,7.806282,-1.2102201,4.8950214,3686.425,8791.003,11844.99
35.739346,10.879314,-3.3008358,9.853194,3711.671,8785.302,11860.16
0.0,0.5863228,-0.22554527,-0.38449314,3606.8867,8758.8955,11825.119
40.731403,1.6783936,0.36946827,-0.36422268,3635.1855,8756.576,11815.435
57.808395,3.766925,0.81276286,1.5860814,3664.124,8763.91,11818.3955
65.007385,10.1212015,-0.8391067,6.2905025,3689.2874,8764.327,11834.725
67.51863,21.742933,-3.8819726,16.197313,3713.8875,8761.345,11851.634
68.613945,22.897354,-6.4633737,14.937897,3739.4285,8756.091,11866.468
0.0,25.962643,10.784633,-3.9670045,3661.6758,8760.617,11846.561
1.0566366,61.66358,3.4222736,24.272018,3690.3552,8765.226,11854.062
1.5087372,103.38386,-16.73707,62.144913,3716.3455,8762.752,11868.839
1.7550832,-66.38113,-72.79217,53.840347,3739.3442,8755.647,11886.744
2.0223029,-241.82892,-195.05774,151.26035,3714.7253,8740.584,11894.93
2.1091197,-256.6647,-152.20985,137.00832,3692.7217,8724.683,11907.696
2.2004845,-68.167015,53.61352,-79.63895,3666.0027,8714.013,11916.196
2.4552758,-42.007843,56.272247,-86.99346,3654.0503,8728.509,11892.808
2.7236137,1.6567453,22.563702,-35.120747,3646.4067,8743.6,11868.031
3.4417093,24.894733,11.241044,-5.42363,3660.0466,8760.237,11847.124
4.5189767,59.407288,4.0123825,22.34759,3688.8591,8765.528,11853.594
4.9906874,103.5599,-16.233202,62.0878,3714.947,8763.229,11868.227
5.236928,-34.88122,-62.739037,57.193764,3738.4663,8756.598,11885.63
5.563788,-137.89897,-137.43668,118.45222,3712.9834,8742.346,11892.524
5.695428,-208.58951,-103.51546,87.153824,3690.9824,8726.466,11905.321
5.8160853,-25.185562,82.71302,-117.73059,3665.3694,8734.213,11891.759
6.021467,53.617275,40.031773,-33.35248,3669.4612,8752.404,11868.257
6.4227266,120.80562,6.035612,42.41675,3698.314,8760.457,11869.887
6.656776,51.655605,-62.393185,93.6272,3724.1892,8756.761,11884.611
6.899096,-28.748386,-39.427338,42.6731,3699.3853,8741.98,11892.753
7.361897,-61.711285,78.79329,-116.80598,3674.0388,8728.793,11901.899
7.5569315,45.79759,60.236454,-63.294224,3671.4011,8746.502,11877.828
7.861034,126.56726,8.659828,40.533016,3698.461,8758.497,11872.941
8.086291,-21.781832,-93.082184,102.136055,3723.8386,8754.045,11888.309
8.300738,-143.49222,-106.677925,86.9614,3700.231,8738.511,11898.377
8.451623,-73.33164,79.56421,-120.72867,3673.1426,8727.294,11904.733
8.636669,27.876211,65.74651,-77.69614,3667.7422,8744.43,11880.709
8.920951,109.66925,18.622782,21.424173,3690.6,8759.921,11868.98
9.185773,106.596756,-39.759026,88.806526,3717.6924,8758.45,11881.78
9.393635,-119.67275,-93.73141,78.240906,3700.2751,8739.649,11897.374
9.56911,-68.06097,80.68337,-120.78194,3673.1875,8728.428,11903.725
9.756134,35.652966,63.738567,-71.4729,3668.9824,8745.883,11879.689
10.049715,117.72968,14.451465,29.852661,3694.0068,8759.944,11870.97
10.294989,70.98195,-57.358665,95.931046,3720.577,8757.368,11884.659
10.521565,-34.84677,-32.88156,32.64943,3696.8938,8741.7295,11894.383
11.0390005,-29.26046,89.22695,-123.989365,3667.7085,8734.804,11894.881
11.231884,60.83315,45.32023,-36.373238,3671.5986,8753.392,11871.657
11.588481,130.57701,2.4861815,49.19921,3700.557,8760.913,11873.857
11.803442,-48.84433,-102.92447,104.588745,3725.211,8755.467,11890.061
11.997422,-189.42067,-146.09372,116.747055,3701.8335,8739.787,11900.436
12.1101265,-108.68268,43.192867,-77.42148,3677.2336,8725.738,11910.309
12.324022,9.2904825,77.86844,-97.689545,3667.5903,8741.904,11886.948
12.563501,97.93878,27.706823,3.8723955,3684.2905,8759.854,11869.659
12.858034,127.38591,-25.705217,80.67701,3712.2678,8760.341,11880.478
13.054164,-504.34747,-351.48718,247.09908,3714.6118,8741.636,11903.815
13.099444,-451.28912,-397.30188,359.5397,3693.1516,8725.165,11916.784
13.142267,-104.12582,-253.37318,279.42044,3676.6465,8707.166,11934.209
13.218934,-209.29079,-968.2325,1469.0677,3679.446,8689.044,11957.952
13.235866,-2894.1572,-2592.001,2212.9827,3671.3767,8669.481,11979.218
13.242576,-2400.0671,-1938.6808,1713.8314,3649.9346,8653.727,11993.074
13.251076,-2595.5623,-1806.8866,1587.4224,3629.1697,8637.036,12006.866
13.259554,-2238.4438,-1460.7507,1292.411,3605.8804,8622.922,12019.453
13.269658,-2750.8582,-1640.8268,1253.8313,3582.6697,8608.239,12031.523
13.278379,-2660.9006,-1560.7009,1072.8727,3558.746,8593.663,12042.255
13.287565,-2063.0813,-1474.795,861.4225,3535.0608,8578.236,12052.306
13.298766,-1755.2286,-1217.3368,551.34784,3511.2417,8562.038,12060.689
13.312366,-1543.9849,-1183.3022,457.31442,3487.6096,8545.068,12068.008
13.327378,-1485.1377,-1378.851,97.66981,3464.7769,8526.472,12073.737
13.342164,-1161.05,-1434.5804,-188.44174,3444.2356,8504.626,12072.834
13.3583355,-1242.2421,-1919.3304,-603.9103,3427.067,8480.541,12067.821
13.371022,-1012.9429,-1670.6232,-730.05865,3412.0132,8457.412,12056.054
13.3854065,-1072.2836,-2001.5074,-969.7982,3398.1013,8432.894,12045.792
13.397556,-1301.835,-2505.174,-1263.612,3385.1274,8408.097,12034.985
13.407255,-1403.6393,-3381.0188,-1564.7103,3373.9517,8382.588,12023.832
13.414791,-2178.6772,-3441.681,-2159.1826,3360.3608,8358.726,12011.755
13.421298,-2798.419,-3927.0066,-2509.008,3346.6946,8335.7295,11998.173
13.426817,-3183.2334,-4495.058,-3294.3857,3331.054,8313.385,11985.68
13.431492,-4408.349,-5635.736,-4730.3027,3316.677,8291.402,11971.187
13.434989,-4768.4478,-5244.555,-4118.849,3300.8596,8271.8125,11954.876
13.438648,-3962.0117,-5255.722,-3805.406,3284.2961,8252.077,11939.508
13.442595,-3206.6853,-5206.569,-3514.202,3269.5154,8231.226,11923.801
